Project Name,Date,Hours Logged,Description
MetaFort,2025-08-31,37857,Total hours logged till date
Construction Worker,2025-09-01,1746,Total hours logged till date
PagePerks,2025-09-02,640,Total hours logged till date
IKIDs App,2025-09-03,11202,Total hours logged till date
Car Wash App - Nazif,2025-09-04,794,Total hours logged till date
Syllable App,2025-09-05,1649,Total hours logged till date
Riseup Kings,2025-10-24,3193,Total hours logged till date
DreamList,2025-10-25,1969,Total hours logged till date
Complete Focus,2025-10-26,1456,Total hours logged till date
V.I.B.E,2025-10-27,730,Total hours logged till date
Catalink,2025-10-28,642,Total hours logged till date
Synaptics,2025-10-29,754,Total hours logged till date
UoTexas,2025-10-30,280,Total hours logged till date
Pets Vet Connect,2025-10-31,1027,Total hours logged till date
University Of Toronto,2025-11-01,577,Total hours logged till date
Discount App,2025-11-02,250,Total hours logged till date
Gambit Sports,2025-11-03,537,Total hours logged till date
Cape Cod - MA,2025-11-04,576,Total hours logged till date
Loser Base,2025-11-05,114,Total hours logged till date
Gravity Group Ind. LLC,2025-11-06,913,Total hours logged till date
Stop Room Software,2025-11-07,137,Total hours logged till date
CareShare,2025-11-08,58,Total hours logged till date
Genuine Connection,2025-11-09,186,Total hours logged till date
Rehkempers,2025-11-10,166,Total hours logged till date
Texas Food Lovers,2025-11-11,281,Total hours logged till date
Heet Dating,2025-11-12,32,Total hours logged till date
San Jose GEAR UP,2025-12-01,848,Total hours logged till date
Remin Diary,2025-12-02,169,Total hours logged till date
Hard Shoulder,2025-12-03,195,Total hours logged till date
Electronic Invitation,2025-12-04,290,Total hours logged till date
Atelier Lily,2025-12-05,168,Total hours logged till date
Midpoint App - POC,2025-12-06,24,Total hours logged till date
Find a feast - POC,2025-12-07,27,Total hours logged till date
Elara Dubai,2025-12-08,8,Total hours logged till date
Multi Restaurant,2025-12-09,102,Total hours logged till date